"cb_flag","dec","decstr","discoverymethod","elat","elon","glat","glon","hd_name","hip_name","hostname","pl_bmasse","pl_bmassj","pl_bmassprov","pl_cmasse","pl_cmassj","pl_dens","pl_eqt","pl_imppar","pl_insol","pl_letter","pl_masse","pl_massj","pl_msinie","pl_msinij","pl_name","pl_occdep","pl_orbeccen","pl_orbincl","pl_orblper","pl_orbper","pl_orbsmax","pl_orbtper","pl_projobliq","pl_rade","pl_radj","pl_ratdor","pl_ratror","pl_rvamp","pl_trandep","pl_trandur","pl_tranmid","pl_trueobliq","pl_tsystemref","ra","rastr","soltype","st_age","st_dens","st_logg","st_lum","st_mass","st_met","st_metratio","st_rad","st_radv","st_rotp","st_spectype","st_teff","st_vsin","sy_dist","sy_plx","sy_pm","sy_pmdec","sy_pmra","sy_pnum","sy_snum","ttv_flag","pl_eqt_normalized","pl_insol_normalized","pl_orbsmax_normalized","id","phi_estimated"
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",4.56,0.014,"Mass",NA,NA,8.8,1833,0.339,NA,"b",4.56,0.014,NA,NA,"Kepler-10 b",NA,0,84.4,NA,0.837495,0.01684,NA,NA,1.416,0.126,3.436,0.01232,3.3,NA,NA,2454964.57375,NA,"BJD",285.679298,"19h02m43.03s","Published Confirmed",11.9,NA,4.34,0.002,0.9,-0.15,"[Fe/H]",1.06,-98.93,NA,NA,5627,0.5,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,1,NA,0,21,0.701794487418541
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",3.33,0.01,"Mass",NA,NA,5.8,2169,0.31,NA,"b",3.33,0.01,NA,NA,"Kepler-10 b",NA,0,84.8,NA,0.8374907,0.01685,NA,NA,1.47,0.131,3.46,0.01261,2.38,NA,1.811,2455034.08687,NA,"BJD-TDB",285.679298,"19h02m43.03s","Published Confirmed",10.6,1.068,4.34,NA,0.91,-0.15,"[Fe/H]",1.06,-98.74,NA,NA,5708,2.04,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,1,NA,0,22,0.701794487418541
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",4.60853,0.0145,"Mass",NA,NA,8,2130,0.3,NA,"b",4.60853,0.0145,NA,NA,"Kepler-10 b",NA,NA,85.1,NA,0.837491,0.0172,NA,NA,1.481,0.132,3.47,0.01247,3.3,NA,NA,2454964.57513,NA,"BJD",285.679298,"19h02m43.03s","Published Confirmed",NA,NA,4.35,NA,0.91,-0.15,"[Fe/H]",1.06,NA,NA,NA,5627,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,1,NA,0,23,0.701794487418541
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",4.6,0.01447,"Mass",NA,NA,8.15,2160,NA,NA,"b",4.6,0.01447,NA,NA,"Kepler-10 b",NA,0,84.15,NA,0.8374912,0.01687,NA,NA,1.46,0.13,3.408,0.01254,3.3,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",10.41,1.068,NA,NA,0.91,-0.15,"[Fe/H]",1.06,NA,NA,NA,5643,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,1,NA,0,24,0.701794487418541
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"Kepler-10 b",NA,NA,NA,NA,0.83749133,NA,NA,NA,1.51,0.135,NA,0.01258,NA,NA,1.8076,2454964.574756,NA,"JD",285.679298,"19h02m43.03s","Published Confirmed",9.12,NA,4.35,NA,0.92,-0.14,"[Fe/H]",1.06,NA,NA,NA,5705,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,NA,NA,NA,25,0.701794487418541
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,3741.78,"b",NA,NA,NA,NA,"Kepler-10 b",NA,NA,NA,NA,NA,NA,NA,NA,1.489,0.133,NA,NA,NA,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA,NA,5599,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,NA,1,NA,26,0.701026326539513
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"Kepler-10 b",NA,0.06,NA,NA,0.83749026,NA,NA,NA,1.473,0.131,NA,NA,NA,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,0,NA,NA,NA,27,0.701026326539513
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c",NA,NA,NA,NA,"Kepler-10 c",NA,0.05,NA,NA,45.294292,NA,NA,NA,2.323,0.207,NA,NA,NA,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,NA,NA,NA,28,0.758884173047913
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c",NA,NA,NA,NA,"Kepler-10 c",NA,0.025,89.64,NA,45.29427,0.2413,NA,NA,2.32,0.207,48.75,0.01998,NA,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",10.41,1.068,NA,NA,0.91,-0.15,"[Fe/H]",1.06,NA,NA,NA,5643,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,NA,NA,0.201368421052632,29,0.759202385887876
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",7.37,0.02319,"Mass",NA,NA,3.14,NA,NA,NA,"c",7.37,0.02319,NA,NA,"Kepler-10 c",NA,NA,NA,NA,45.2946,NA,NA,NA,NA,NA,NA,NA,1.41,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,NA,NA,NA,30,0.758884173047913
