pl_name,hostname,pl_letter,hd_name,hip_name,sy_snum,sy_pnum,cb_flag,discoverymethod,soltype,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx
Kepler-200 b,Kepler-200,b,NA,NA,1,2,0,Transit,Published Confirmed,8.59490775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455004.63577,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5838.55,0.99,1.05,-0.006,[M/H],0.008,4.47,NA,1.5437,NA,NA,NA,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,16.40754,71.33871,63.44413,294.74147,9.4976398,5.52362,7.72624,665.912,1.47291
Kepler-200 b,Kepler-200,b,NA,NA,1,2,0,Transit,Published Confirmed,8.59479202,NA,2.19,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455004.63055,JD,0,NA,NA,3.5432,NA,0.02093,NA,NA,NA,NA,NA,NA,NA,5773,0.95,0.98,-0.07,[Fe/H],NA,4.47,3.63,NA,NA,NA,NA,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,16.40754,71.33871,63.44413,294.74147,9.4976398,5.52362,7.72624,665.912,1.47291
Kepler-200 b,Kepler-200,b,NA,NA,1,2,0,Transit,Published Confirmed,8.594805,0.08,2.13,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455004.62998,BJD,0,0.93,NA,3.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,5678,0.94,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,16.40754,71.33871,63.44413,294.74147,9.4976398,5.52362,7.72624,665.912,1.47291
Kepler-200 c,Kepler-200,c,NA,NA,1,2,0,Transit,Published Confirmed,NA,NA,1.86,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.36,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5785,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,16.40754,71.33871,63.44413,294.74147,9.4976398,5.52362,7.72624,665.912,1.47291
Kepler-200 c,Kepler-200,c,NA,NA,1,2,0,Transit,Published Confirmed,10.222157,0.09,1.59,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454968.89056,BJD,0,0.74,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,5678,0.94,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,16.40754,71.33871,63.44413,294.74147,9.4976398,5.52362,7.72624,665.912,1.47291
Kepler-200 c,Kepler-200,c,NA,NA,1,2,0,Transit,Published Confirmed,10.22219028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454968.88583,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5838.55,0.99,1.05,-0.006,[M/H],0.008,4.47,NA,1.5437,NA,NA,NA,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,16.40754,71.33871,63.44413,294.74147,9.4976398,5.52362,7.72624,665.912,1.47291
Kepler-200 c,Kepler-200,c,NA,NA,1,2,0,Transit,Published Confirmed,10.22214214,NA,1.46,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454968.89134,JD,0,NA,NA,1.1284,NA,0.01426,NA,NA,NA,NA,NA,NA,NA,5773,0.95,0.98,-0.07,[Fe/H],NA,4.47,3.63,NA,NA,NA,NA,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,16.40754,71.33871,63.44413,294.74147,9.4976398,5.52362,7.72624,665.912,1.47291
Kepler-203 b,Kepler-203,b,NA,NA,1,3,0,Transit,Published Confirmed,3.16269458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455002.64066,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5871.24,1.08,1.06,0.048,[M/H],0.094,4.4,NA,1.1977,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 b,Kepler-203,b,NA,NA,1,3,0,Transit,Published Confirmed,3.16268993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454964.690141,BJD,0,NA,0.0519,2.2213,NA,NA,NA,NA,NA,NA,NA,NA,NA,5871.24,1.08,1.06,0.048,[M/H],0.094,4.4,NA,1.1977,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 b,Kepler-203,b,NA,NA,1,3,0,Transit,Published Confirmed,3.16269124,NA,2.48,0.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455002.642051,JD,0,NA,NA,1.9367,NA,0.02241,NA,NA,NA,NA,NA,NA,NA,5794,1.03,1,-0.01,[Fe/H],NA,4.4,5.5,NA,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 b,Kepler-203,b,NA,NA,1,3,0,Transit,Published Confirmed,NA,NA,2.508,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668.22,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5887,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 c,Kepler-203,c,NA,NA,1,3,0,Transit,Published Confirmed,NA,NA,2.441,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329.79,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5887,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 c,Kepler-203,c,NA,NA,1,3,0,Transit,Published Confirmed,5.37063855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455005.23854,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5871.24,1.08,1.06,0.048,[M/H],0.094,4.4,NA,1.1977,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 c,Kepler-203,c,NA,NA,1,3,0,Transit,Published Confirmed,5.37064587,NA,2.37,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455005.237385,JD,0,NA,NA,2.046,NA,0.02087,NA,NA,NA,NA,NA,NA,NA,5794,1.03,1,-0.01,[Fe/H],NA,4.4,5.5,NA,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 c,Kepler-203,c,NA,NA,1,3,0,Transit,Published Confirmed,5.371,NA,2.09,0.186,749.9,2.36,NA,NA,NA,NA,749.9,2.36,Mass,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 c,Kepler-203,c,NA,NA,1,3,0,Transit,Published Confirmed,5.3706416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454967.644186,BJD,0,NA,0.0506,2.3277,NA,NA,NA,NA,NA,NA,NA,NA,NA,5871.24,1.08,1.06,0.048,[M/H],0.094,4.4,NA,1.1977,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 d,Kepler-203,d,NA,NA,1,3,0,Transit,Published Confirmed,11.3295929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.95824,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5871.24,1.08,1.06,0.048,[M/H],0.094,4.4,NA,1.1977,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 d,Kepler-203,d,NA,NA,1,3,0,Transit,Published Confirmed,11.32975018,NA,1.34,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.96799,JD,0,NA,NA,3.952,NA,0.01245,NA,NA,NA,NA,NA,NA,NA,5794,1.03,1,-0.01,[Fe/H],NA,4.4,5.5,NA,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 d,Kepler-203,d,NA,NA,1,3,0,Transit,Published Confirmed,NA,NA,1.317,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.82,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5887,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 d,Kepler-203,d,NA,NA,1,3,0,Transit,Published Confirmed,11.32967235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.971688,BJD,0,NA,0.0186,3.8176,NA,NA,NA,NA,NA,NA,NA,NA,NA,5871.24,1.08,1.06,0.048,[M/H],0.094,4.4,NA,1.1977,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-203 d,Kepler-203,d,NA,NA,1,3,0,Transit,Published Confirmed,11.33,NA,1.22,0.109,33.9,0.107,NA,NA,NA,NA,33.9,0.107,Mass,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,7.89379,75.69361,60.72585,314.31868,4.2161457,-1.60062,3.9005,703.302,1.39329
Kepler-204 b,Kepler-204,b,NA,NA,1,2,0,Transit,Published Confirmed,14.40092576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455007.98985,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5799,1.03,1.04,NA,NA,0.03,4.43,NA,1.3603,NA,NA,NA,19h01m23.32s,285.347162,+41d45m42.64s,41.761845,15.95528,72.12006,63.79308,296.55022,18.7319359,-3.65194,-18.3725,686.723,1.42737
Kepler-204 b,Kepler-204,b,NA,NA,1,2,0,Transit,Published Confirmed,14.40094968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454964.784969,BJD,0,NA,0.0406,4.0754,NA,NA,NA,NA,NA,NA,NA,NA,NA,5799,1.03,1.04,NA,NA,0.03,4.43,NA,1.3603,NA,NA,NA,19h01m23.32s,285.347162,+41d45m42.64s,41.761845,15.95528,72.12006,63.79308,296.55022,18.7319359,-3.65194,-18.3725,686.723,1.42737
