pl_name,hostname,pl_letter,hd_name,hip_name,sy_snum,sy_pnum,cb_flag,discoverymethod,soltype,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx
Kepler-1251 b,Kepler-1251,b,NA,NA,1,1,0,Transit,Published Confirmed,45.09041544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.557351,BJD,0,NA,0.0448,3.7533,NA,NA,NA,NA,NA,NA,NA,NA,NA,5558.2,0.9,0.98,0.319,[M/H],-0.153,4.52,NA,1.8664,NA,NA,NA,19h28m27.63s,292.1151093,+49d15m22.97s,49.2563792,14.59844,81.1983,69.33145,314.11457,10.1273376,-3.52672,-9.49343,902.204,1.08
Kepler-1252 b,Kepler-1252,b,NA,NA,1,1,0,Transit,Published Confirmed,15.05374004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454968.54475,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5642,0.9,1,NA,NA,-0.13,4.53,NA,1.9238,NA,NA,NA,19h55m48.09s,298.9503634,+46d41m34.24s,46.6928437,9.35899,81.02454,65.01043,321.80223,12.51581,6.5259,10.6798,648.979,1.51226
Kepler-1252 b,Kepler-1252,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,1.606,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.58,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5463,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h55m48.09s,298.9503634,+46d41m34.24s,46.6928437,9.35899,81.02454,65.01043,321.80223,12.51581,6.5259,10.6798,648.979,1.51226
Kepler-1252 b,Kepler-1252,b,NA,NA,1,1,0,Transit,Published Confirmed,15.0540329,NA,1.67,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454968.53067,JD,0,NA,NA,4.275,NA,0.01421,NA,NA,NA,NA,NA,NA,NA,5949,1.09,1.06,0.03,[Fe/H],NA,4.38,3.89,NA,NA,NA,NA,19h55m48.09s,298.9503634,+46d41m34.24s,46.6928437,9.35899,81.02454,65.01043,321.80223,12.51581,6.5259,10.6798,648.979,1.51226
Kepler-1253 b,Kepler-1253,b,NA,NA,1,1,0,Transit,Published Confirmed,68.8861915,NA,1.33,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454993.29804,JD,0,NA,NA,5.95,NA,0.01134,NA,NA,NA,NA,NA,NA,NA,5850,1.1,0.97,-0.14,[Fe/H],NA,4.33,7.08,NA,NA,NA,NA,18h55m32.45s,283.8852196,+47d38m13.74s,47.6371507,19.03753,77.47721,69.73815,297.83126,21.8034806,9.73565,-19.5092,514.524,1.91487
Kepler-1257 b,Kepler-1257,b,NA,NA,1,1,0,Transit,Published Confirmed,2.66828119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454964.69794,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5371.03,0.99,0.93,0.003,[M/H],-0.136,4.42,NA,1.3626,NA,NA,NA,19h44m18.15s,296.0756231,+45d37m37.26s,45.6270165,10.58208,79.09698,64.91505,316.46927,12.883979,-9.39534,-8.81615,1105.95,0.876807
Kepler-1258 b,Kepler-1258,b,NA,NA,1,1,0,Transit,Published Confirmed,0.98494017,NA,0.86,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.31962,JD,0,NA,NA,1.9543,NA,0.0083,NA,NA,NA,NA,NA,NA,NA,5839,0.99,0.99,-0.07,[Fe/H],NA,4.45,3.89,NA,NA,NA,NA,19h01m37.19s,285.4049723,+49d59m41.35s,49.9948186,18.89697,80.18131,71.67807,302.90013,22.5632876,1.32244,22.5245,717.555,1.36485
Kepler-1260 b,Kepler-1260,b,NA,NA,1,1,0,Transit,Published Confirmed,19.1187753,NA,1.77,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454971.42568,JD,0,NA,NA,6.873,NA,0.01532,NA,NA,NA,NA,NA,NA,NA,5961,1.08,1.06,0.01,[Fe/H],NA,4.39,3.8,NA,NA,NA,NA,19h42m21.90s,295.5912652,+42d33m18.81s,42.5552261,9.43327,76.18255,62.22217,313.0538,1.8102323,0.844547,-1.60115,1734.43,0.548413
Kepler-1262 b,Kepler-1262,b,NA,NA,1,1,0,Transit,Published Confirmed,8.67900242,NA,1.82,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454973.90699,JD,0,NA,NA,2.835,NA,0.01688,NA,NA,NA,NA,NA,NA,NA,5771,0.98,0.99,-0.02,[Fe/H],NA,4.45,4.27,NA,NA,NA,NA,19h15m05.24s,288.7718287,+42d12m47.41s,42.2131694,13.79639,73.591309999999993,63.5586,302.35762,11.0967179,-0.391771,-11.0898,1054.87,0.919613
Kepler-1262 b,Kepler-1262,b,NA,NA,1,1,0,Transit,Published Confirmed,8.67893385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454973.91426,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5682,0.91,1.01,NA,NA,-0.105,4.52,NA,1.8649,NA,NA,NA,19h15m05.24s,288.7718287,+42d12m47.41s,42.2131694,13.79639,73.591309999999993,63.5586,302.35762,11.0967179,-0.391771,-11.0898,1054.87,0.919613
Kepler-1264 b,Kepler-1264,b,NA,NA,1,1,0,Transit,Published Confirmed,0.96852602,NA,1.18,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454964.51141,JD,0,NA,NA,1.2904,NA,0.01051,NA,NA,NA,NA,NA,NA,NA,5791,0.98,0.99,-0.02,[Fe/H],NA,4.45,4.17,NA,NA,NA,NA,19h19m32.26s,289.8844102,+45d12m41.43s,45.2115075,14.29626,76.74948,66.15915,306.35316,2.4582494,0.543477,-2.39742,801.993,1.21925
Kepler-1264 b,Kepler-1264,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,1.35,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2367.8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5606,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h19m32.26s,289.8844102,+45d12m41.43s,45.2115075,14.29626,76.74948,66.15915,306.35316,2.4582494,0.543477,-2.39742,801.993,1.21925
Kepler-1267 b,Kepler-1267,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,2.899,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.47,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5512,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h56m40.68s,299.1695093,+43d26m27.79s,43.4410533,7.58873,78.26219,62.01362,318.94642,10.2230908,-4.22323,-9.30999,1379.43,0.697575
Kepler-1267 b,Kepler-1267,b,NA,NA,1,1,0,Transit,Published Confirmed,13.03129902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454977.11199,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5559,1.08,0.98,NA,NA,0.003,4.36,NA,1.0931,NA,NA,NA,19h56m40.68s,299.1695093,+43d26m27.79s,43.4410533,7.58873,78.26219,62.01362,318.94642,10.2230908,-4.22323,-9.30999,1379.43,0.697575
Kepler-1267 b,Kepler-1267,b,NA,NA,1,1,0,Transit,Published Confirmed,13.03136776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455185.614708,BJD,0,NA,0.0674,4.5204,NA,NA,NA,NA,NA,NA,NA,NA,NA,5559,1.08,0.98,NA,NA,0.003,4.36,NA,1.0931,NA,NA,NA,19h56m40.68s,299.1695093,+43d26m27.79s,43.4410533,7.58873,78.26219,62.01362,318.94642,10.2230908,-4.22323,-9.30999,1379.43,0.697575
Kepler-1268 b,Kepler-1268,b,NA,NA,1,1,0,Transit,Published Confirmed,40.9903986,NA,2.03,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454965.41393,JD,0,NA,NA,7.261,NA,0.01712,NA,NA,NA,NA,NA,NA,NA,5904,1.09,1.06,0.05,[Fe/H],NA,4.38,4.27,NA,NA,NA,NA,19h11m21.22s,287.838419,+43d09m11.44s,43.1531776,14.80444,74.19149,64.65562,301.46777,15.6592351,-7.43518,-13.7815,1840.77,0.514107
Kepler-1272 b,Kepler-1272,b,NA,NA,1,1,0,Transit,Published Confirmed,51.1309704,NA,2.37,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454970.17952,JD,0,NA,NA,5.995,NA,0.01991,NA,NA,NA,NA,NA,NA,NA,5926,1.09,1.06,0.06,[Fe/H],NA,4.39,3.89,NA,NA,NA,NA,19h00m52.74s,285.2197605,+38d48m21.02s,38.8058393,14.9037,69.2523,60.93579,294.90158,12.8101046,-9.48069,-8.61483,1206.37,0.800307
Kepler-1273 b,Kepler-1273,b,NA,NA,1,1,0,Transit,Published Confirmed,28.625653,NA,2.49,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454991.11317,JD,0,NA,NA,4.601,NA,0.02521,NA,NA,NA,NA,NA,NA,NA,5566,0.91,0.94,0.03,[Fe/H],NA,4.5,4.47,NA,NA,NA,NA,19h03m12.77s,285.8032016,+44d52m24.23s,44.8733983,16.81761,75.2555,66.71641,299.22138,8.7369921,-3.17905,-8.1381,1114.24,0.869576
Kepler-1276 b,Kepler-1276,b,NA,NA,1,1,0,Transit,Published Confirmed,12.5722979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454963.489453,BJD,0,NA,0.0106,5.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,6257,1.1,1.22,NA,NA,0.22,4.44,NA,1.3036,NA,NA,NA,19h11m25.68s,287.8570173,+40d32m49.89s,40.5471909,13.73968,71.7371,62.14453,299.90945,3.1839299,-1.41283,2.8533,538.481,1.8285
Kepler-1276 b,Kepler-1276,b,NA,NA,1,1,0,Transit,Published Confirmed,12.57252273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454976.06805,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6257,1.1,1.22,NA,NA,0.22,4.44,NA,1.3036,NA,NA,NA,19h11m25.68s,287.8570173,+40d32m49.89s,40.5471909,13.73968,71.7371,62.14453,299.90945,3.1839299,-1.41283,2.8533,538.481,1.8285
Kepler-1277 b,Kepler-1277,b,NA,NA,1,1,0,Transit,Published Confirmed,40.8365012,NA,1.6,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454985.8751,JD,0,NA,NA,4.944,NA,0.01584,NA,NA,NA,NA,NA,NA,NA,5578,0.92,0.94,-0.01,[Fe/H],NA,4.49,5.01,NA,NA,NA,NA,19h40m24.60s,295.1025166,+40d34m20.54s,40.5723736,8.81353,74.23928,60.49882,310.86909000000003,19.1591275,19.0891,-1.63659,557.193,1.76603
Kepler-1282 b,Kepler-1282,b,NA,NA,1,1,0,Transit,Published Confirmed,2.13194526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.65333,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5444,0.91,0.95,NA,NA,-0.183,4.5,NA,1.7731,NA,NA,NA,19h20m42.28s,290.1761688,+46d41m53.89s,46.6983036,14.72074,78.23617,67.48369,308.14557,5.8569292,2.47265,-5.30939,1103.29,0.878043
Kepler-1286 b,Kepler-1286,b,NA,NA,1,1,0,Transit,Published Confirmed,11.25402929,NA,2.15,0.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454969.88902,JD,0,NA,NA,4.679,NA,0.01994,NA,NA,NA,NA,NA,NA,NA,5753,0.98,1,0.03,[Fe/H],NA,4.45,4.17,NA,NA,NA,NA,18h41m02.01s,280.2583709,+43d50m08.68s,43.8357433,20.17847,72.7837,66.60411,288.87139,5.5585362,-3.16857,-4.567,1354.46,0.709606
Kepler-1287 b,Kepler-1287,b,NA,NA,1,1,0,Transit,Published Confirmed,11.47685909,NA,1.54,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454972.62986,JD,0,NA,NA,2.702,NA,0.01454,NA,NA,NA,NA,NA,NA,NA,5715,0.94,0.96,-0.05,[Fe/H],NA,4.48,4.07,NA,NA,NA,NA,19h16m32.31s,289.1346298,+47d03m46.86s,47.063018,15.51923,78.28521,68.07669,306.72587,1.1087608,-0.623205,0.917042,1003.26,0.968282
Kepler-1287 b,Kepler-1287,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,1.427,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5550,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h16m32.31s,289.1346298,+47d03m46.86s,47.063018,15.51923,78.28521,68.07669,306.72587,1.1087608,-0.623205,0.917042,1003.26,0.968282
Kepler-1287 b,Kepler-1287,b,NA,NA,1,1,0,Transit,Published Confirmed,11.47686484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454972.63274,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5702,0.92,1.02,NA,NA,-0.091,4.52,NA,1.8287,NA,NA,NA,19h16m32.31s,289.1346298,+47d03m46.86s,47.063018,15.51923,78.28521,68.07669,306.72587,1.1087608,-0.623205,0.917042,1003.26,0.968282
Kepler-1290 b,Kepler-1290,b,NA,NA,1,1,0,Transit,Published Confirmed,4.69500134,NA,1.42,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.93999,JD,0,NA,NA,2.963,NA,0.01448,NA,NA,NA,NA,NA,NA,NA,5660,0.93,0.95,-0.02,[Fe/H],NA,4.49,4.07,NA,NA,NA,NA,19h22m44.45s,290.6852287,+43d51m34.62s,43.8596155,13.21299,75.73032,64.69447,306.56978,8.502854,-4.32574,-7.32028,1593.7,0.599171
Kepler-1290 b,Kepler-1290,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,1.688,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.22,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h22m44.45s,290.6852287,+43d51m34.62s,43.8596155,13.21299,75.73032,64.69447,306.56978,8.502854,-4.32574,-7.32028,1593.7,0.599171
Kepler-1292 b,Kepler-1292,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,1.779,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5814,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18h59m37.37s,284.9057222,+43d56m56.92s,43.9491434,17.07258,74.11024,65.99302,297.07342,3.3236424,-0.655407,3.25838,1493.43,0.64124
Kepler-1292 b,Kepler-1292,b,NA,NA,1,1,0,Transit,Published Confirmed,3.27645328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454964.98104,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5461,1.01,0.95,NA,NA,-0.091,4.41,NA,1.3132,NA,NA,NA,18h59m37.37s,284.9057222,+43d56m56.92s,43.9491434,17.07258,74.11024,65.99302,297.07342,3.3236424,-0.655407,3.25838,1493.43,0.64124
Kepler-1292 b,Kepler-1292,b,NA,NA,1,1,0,Transit,Published Confirmed,3.27646405,NA,1.82,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454964.97934,JD,0,NA,NA,2.272,NA,0.01801,NA,NA,NA,NA,NA,NA,NA,5556,0.93,0.95,0.08,[Fe/H],NA,4.49,4.68,NA,NA,NA,NA,18h59m37.37s,284.9057222,+43d56m56.92s,43.9491434,17.07258,74.11024,65.99302,297.07342,3.3236424,-0.655407,3.25838,1493.43,0.64124
Kepler-1294 b,Kepler-1294,b,NA,NA,1,1,0,Transit,Published Confirmed,115.6862258,NA,3.19,0.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455079.98767,JD,0,NA,NA,4.625,NA,0.02982,NA,NA,NA,NA,NA,NA,NA,5776,0.97,0.99,-0.03,[Fe/H],NA,4.46,3.98,NA,NA,NA,NA,19h25m04.34s,291.2681037,+44d29m17.38s,44.4881624,13.10236,76.49717,65.14602,307.99697,4.8943432,2.78946,-4.02163,1855.7,0.510047
Kepler-1297 b,Kepler-1297,b,NA,NA,1,1,0,Transit,Published Confirmed,1.68189002,NA,0.97,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.08175,JD,0,NA,NA,3,NA,0.00865,NA,NA,NA,NA,NA,NA,NA,5818,0.99,0.99,-0.04,[Fe/H],NA,4.45,4.17,NA,NA,NA,NA,19h19m49.55s,289.9564415,+47d01m13.25s,47.0203466,14.98902,78.47729,67.8382,308.08088,11.9856109,-10.9033,-4.97724,1439.47,0.665904
Kepler-1299 b,Kepler-1299,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,3.061,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5619,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h04m36.03s,286.1501263,+37d24m40.84s,37.4113438,13.67698,68.23301,59.41599,295.73249,9.5770457,-4.0625,-8.67271,1404.94,0.683821
Kepler-1299 b,Kepler-1299,b,NA,NA,1,1,0,Transit,Published Confirmed,19.93976793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454975.36234,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5427,1,0.95,NA,NA,-0.106,4.41,NA,1.3354,NA,NA,NA,19h04m36.03s,286.1501263,+37d24m40.84s,37.4113438,13.67698,68.23301,59.41599,295.73249,9.5770457,-4.0625,-8.67271,1404.94,0.683821
Kepler-1299 b,Kepler-1299,b,NA,NA,1,1,0,Transit,Published Confirmed,19.94014237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454975.35122,BJD,0,NA,0.0947,4.2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,5427,1,0.95,NA,NA,-0.106,4.41,NA,1.3354,NA,NA,NA,19h04m36.03s,286.1501263,+37d24m40.84s,37.4113438,13.67698,68.23301,59.41599,295.73249,9.5770457,-4.0625,-8.67271,1404.94,0.683821
Kepler-1299 b,Kepler-1299,b,NA,NA,1,1,0,Transit,Published Confirmed,19.9400874,NA,2.98,0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454975.34994,JD,0,NA,NA,4.263,NA,0.02998,NA,NA,NA,NA,NA,NA,NA,5609,0.91,0.94,-0.01,[Fe/H],NA,4.5,4.37,NA,NA,NA,NA,19h04m36.03s,286.1501263,+37d24m40.84s,37.4113438,13.67698,68.23301,59.41599,295.73249,9.5770457,-4.0625,-8.67271,1404.94,0.683821
Kepler-1303 b,Kepler-1303,b,NA,NA,1,1,0,Transit,Published Confirmed,7.56127224,NA,1.42,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454968.63599,JD,0,NA,NA,2.938,NA,0.01279,NA,NA,NA,NA,NA,NA,NA,5771,1,1.01,0.04,[Fe/H],NA,4.44,4.47,NA,NA,NA,NA,18h57m08.92s,284.287147,+42d21m20.08s,42.3555784,16.90728,72.38708,64.55416,295.1117,6.6003411,-0.734191,-6.55938,897.783,1.08546
Kepler-1303 b,Kepler-1303,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,1.334,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.38,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5844,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18h57m08.92s,284.287147,+42d21m20.08s,42.3555784,16.90728,72.38708,64.55416,295.1117,6.6003411,-0.734191,-6.55938,897.783,1.08546
Kepler-1303 b,Kepler-1303,b,NA,NA,1,1,0,Transit,Published Confirmed,7.56129533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454968.63541,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5679,1.03,1.01,NA,NA,-0.002,4.42,NA,1.3004,NA,NA,NA,18h57m08.92s,284.287147,+42d21m20.08s,42.3555784,16.90728,72.38708,64.55416,295.1117,6.6003411,-0.734191,-6.55938,897.783,1.08546
Kepler-1305 b,Kepler-1305,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,2.152,0.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.51,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5854,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h49m21.47s,297.3394624,+46d20m49.98s,46.3472165,10.15481,80.16669,65.19506,319.07915,8.2369117,2.97828,-7.67962,1575.23,0.607504
Kepler-1305 b,Kepler-1305,b,NA,NA,1,1,0,Transit,Published Confirmed,13.5630972,NA,1.88,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454973.6532,JD,0,NA,NA,5.632,NA,0.01794,NA,NA,NA,NA,NA,NA,NA,5701,0.96,0.97,0.01,[Fe/H],NA,4.47,4.37,NA,NA,NA,NA,19h49m21.47s,297.3394624,+46d20m49.98s,46.3472165,10.15481,80.16669,65.19506,319.07915,8.2369117,2.97828,-7.67962,1575.23,0.607504
Kepler-1306 b,Kepler-1306,b,NA,NA,1,1,0,Transit,Published Confirmed,16.29595382,NA,1.91,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.90933,JD,0,NA,NA,2.129,NA,0.01848,NA,NA,NA,NA,NA,NA,NA,5727,0.97,0.98,0,[Fe/H],NA,4.45,4.57,NA,NA,NA,NA,19h37m54.81s,294.4783627,+46d56m45.11s,46.9458638,12.17061,79.76901,66.57225,315.35017,4.589797,4.06909,2.12338,1107.5,0.874581
Kepler-1306 b,Kepler-1306,b,NA,NA,1,1,0,Transit,Published Confirmed,NA,NA,1.867,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5493,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19h37m54.81s,294.4783627,+46d56m45.11s,46.9458638,12.17061,79.76901,66.57225,315.35017,4.589797,4.06909,2.12338,1107.5,0.874581
Kepler-1306 b,Kepler-1306,b,NA,NA,1,1,0,Transit,Published Confirmed,16.29582626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454966.91486,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5503.42,1.02,0.97,0.03,[M/H],-0.063,4.41,NA,1.2791,NA,NA,NA,19h37m54.81s,294.4783627,+46d56m45.11s,46.9458638,12.17061,79.76901,66.57225,315.35017,4.589797,4.06909,2.12338,1107.5,0.874581
Kepler-1307 b,Kepler-1307,b,NA,NA,1,1,0,Transit,Published Confirmed,18.01621096,NA,2.47,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454978.23823,JD,0,NA,NA,3.996,NA,0.02121,NA,NA,NA,NA,NA,NA,NA,5884,1.08,1.06,0.06,[Fe/H],NA,4.39,4.07,NA,NA,NA,NA,19h31m28.76s,292.8698348,+46d44m30.72s,46.7418679,13.06551,79.08067,66.82991,312.59694,2.2149698,-2.188,0.344597,1014.62,0.957395
Kepler-131 b,Kepler-131,b,NA,NA,1,2,0,Transit,Published Confirmed,16.09196403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454955.322808,BJD,0,NA,0.0431,3.1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,5755,1.03,1.03,0.13,[M/H],0.022,4.42,NA,1.3227,NA,NA,NA,19h14m07.41s,288.5308924,+40d56m32.54s,40.942373,13.43665,72.3236,62.38912,301.19343,15.3655751,6.35965,13.9877,228.678,4.34425
Kepler-131 b,Kepler-131,b,NA,NA,1,2,0,Transit,Published Confirmed,16.09197176,NA,2.13,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455003.598535,JD,0,NA,NA,2.879,NA,0.01891,NA,NA,NA,NA,NA,NA,NA,5811,1.03,1.04,0.1,[Fe/H],NA,4.43,3.72,NA,NA,NA,NA,19h14m07.41s,288.5308924,+40d56m32.54s,40.942373,13.43665,72.3236,62.38912,301.19343,15.3655751,6.35965,13.9877,228.678,4.34425
Kepler-131 b,Kepler-131,b,NA,NA,1,2,0,Transit,Published Confirmed,16.09198058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455003.59857,BJD,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5755,1.03,1.03,0.13,[M/H],0.022,4.42,NA,1.3227,NA,NA,NA,19h14m07.41s,288.5308924,+40d56m32.54s,40.942373,13.43665,72.3236,62.38912,301.19343,15.3655751,6.35965,13.9877,228.678,4.34425
